Guid,Title,Genres,Keywords,Director,Actors
tt0114709,Toy Story,Animation | Adventure | Comedy | Family | Fantasy,toy | rivalry | cowboy | cgi animation | claw crane,John Lasseter,Tom Hanks | Tim Allen | Don Rickles | Jim Varney
tt0113497,Jumanji,Adventure | Comedy | Family | Fantasy,board game | adventurer | fight | game | year 1995,Joe Johnston,Robin Williams | Kirsten Dunst | Bonnie Hunt | Jonathan Hyde
tt0113228,Grumpier Old Men,Comedy | Romance,boat | lake | neighbor | rivalry | minnesota,Howard Deutch,Walter Matthau | Jack Lemmon | Ann-Margret | Sophia Loren
tt0114885,Waiting to Exhale,Comedy | Drama | Romance,black american | husband wife relationship | betrayal | mother son relationship | f rated,Forest Whitaker,Whitney Houston | Angela Bassett | Loretta Devine | Lela Rochon
tt0113041,Father of the Bride Part II,Comedy | Family | Romance,fatherhood | doberman | dog | mansion | basketball,Charles Shyer,Steve Martin | Diane Keaton | Martin Short | Kimberly Williams-Paisley
tt0113277,Heat,Crime | Drama | Thriller,gun battle | organized crime | honor | criminal investigation | taken in for questioning,Michael Mann,Al Pacino | Robert De Niro | Val Kilmer | Jon Voight
tt0114319,Sabrina,Comedy | Drama | Romance,character name as title | chauffeur | estate | playboy | vogue magazine,Sydney Pollack,Harrison Ford | Julia Ormond | Greg Kinnear | Nancy Marchand
tt0112302,Tom and Huck,Adventure | Comedy | Drama | Family | Romance | Western,rescue from drowning | near drowning | character names as title | forenames as title | nicknames as title,Peter Hewitt,Jonathan Taylor Thomas | Brad Renfro | Charles Rocket | Eric Schweig
tt0114576,Sudden Death,Action | Crime | Thriller,hockey | death in title | two word title | terrorist | vice president,Peter Hyams,Jean-Claude Van Damme | Powers Boothe | Raymond J. Barry | Whittni Wright
tt0113189,GoldenEye,Action | Adventure | Thriller,official james bond series | james bond character | 007 | chemical weapons | electromagnetic pulse,Martin Campbell,Pierce Brosnan | Sean Bean | Izabella Scorupco | Famke Janssen
tt0112346,The American President,Comedy | Drama | Romance,reference to franklin d. roosevelt | reference to martin van buren | president | speechwriter | bouquet,Rob Reiner,Michael Douglas | Annette Bening | Martin Sheen | Michael J. Fox
tt0112896,Dracula: Dead and Loving It,Comedy | Fantasy | Horror,dracula | vampire | 19th century | insane asylum | 1890s,Mel Brooks,Leslie Nielsen | Mel Brooks | Peter MacNicol | Steven Weber
tt0112453,Balto,Animation | Adventure | Drama | Family | History,dog | nome alaska | alaska | children | iditarod,Simon Wells,Kevin Bacon | Bob Hoskins | Bridget Fonda | Jim Cummings
tt0113987,Nixon,Biography | Drama | History,american president | american politics | paranoia | u.s. president | watergate,Oliver Stone,Anthony Hopkins | Joan Allen | Powers Boothe | Ed Harris
tt0112760,Cutthroat Island,Action | Adventure | Comedy,treasure | pirate | treasure map | pirate ship | sword fight,Renny Harlin,Geena Davis | Matthew Modine | Frank Langella | Maury Chaykin
tt0112641,Casino,Crime | Drama,crime epic | casino | gambling | gangster | exploding car,Martin Scorsese,Robert De Niro | Sharon Stone | Joe Pesci | James Woods
tt0114388,Sense and Sensibility,Drama | Romance,england | 19th century | based on novel | black hair | visit,Ang Lee,Emma Thompson | Kate Winslet | James Fleet | Tom Wilkinson
tt0112281,Ace Ventura: When Nature Calls,Adventure | Comedy | Crime,male objectification | kidnapping | caught masturbating | fictional country | slapstick comedy,Steve Oedekerk,Jim Carrey | Ian McNeice | Simon Callow | Maynard Eziashi
tt0113845,Money Train,Action | Comedy | Crime | Drama | Thriller,train | subway | loan shark | new year's eve | runaway train,Joseph Ruben,Wesley Snipes | Woody Harrelson | Jennifer Lopez | Robert Blake
tt0113161,Get Shorty,Comedy | Crime | Thriller,movie business | loan shark | debt | mobster | producer,Barry Sonnenfeld,Gene Hackman | Rene Russo | Danny DeVito | John Travolta
tt0112722,Copycat,Drama | Mystery | Thriller,serial killer | psychopath | dead body in a bathtub | detective | murder,Jon Amiel,Sigourney Weaver | Holly Hunter | Dermot Mulroney | William McNamara
tt0112401,Assassins,Action | Crime | Thriller,assassin | rival | assassination | computer hacker | limousine,Richard Donner,Sylvester Stallone | Antonio Banderas | Julianne Moore | Anatoli Davydov
tt0114168,Powder,Drama | Fantasy | Mystery | Sci-Fi | Thriller,albino | electricity | loneliness | bully | spoon,Victor Salva,Mary Steenburgen | Sean Patrick Flanery | Lance Henriksen | Jeff Goldblum
tt0113627,Leaving Las Vegas,Drama | Romance,prostitute | alcoholism | alcoholic | falling in love with a prostitute | las vegas nevada,Mike Figgis,Nicolas Cage | Elisabeth Shue | Julian Sands | Richard Lewis
tt0114057,Othello,Drama | Romance,italy | black man white woman marriage | black man white woman sex | black man white woman kiss | black man white woman romance,Oliver Parker,Laurence Fishburne | Kenneth Branagh | Irène Jacob | Nathaniel Parker
tt0114011,Now and Then,Comedy | Drama | Romance,1970s | year 1991 | 1990s | year 1970 | coming of age,Lesli Linka Glatter,Christina Ricci | Demi Moore | Rosie O'Donnell | Thora Birch
tt0114117,Persuasion,Drama,captain | accident | napoleonic wars | marriage | admiral,Roger Michell,Amanda Root | Ciarán Hinds | Susan Fleetwood | Corin Redgrave
tt0112792,Dangerous Minds,Biography | Drama,teacher student relationship | ex marine | pregnancy | high school principal | reference to dylan thomas,John N. Smith,Michelle Pfeiffer | George Dzundza | Courtney B. Vance | Robin Bartlett
tt0114746,Twelve Monkeys,Mystery | Sci-Fi | Thriller,time travel | virus | mental institution | underground | psychiatrist,Terry Gilliam,Bruce Willis | Madeleine Stowe | Brad Pitt | Joseph Melito
tt0112431,Babe,Comedy | Drama | Family,farmer | pig | sheep | farm | sheepdog,Chris Noonan,James Cromwell | Magda Szubanski | Christine Cavanaugh | Miriam Margolyes
tt0112637,Carrington,Biography | Drama | Romance,writer | gay | rape | f rated | character name as title,Christopher Hampton,Emma Thompson | Jonathan Pryce | Steven Waddington | Samuel West
